Timestamp,State,Consumption,Redundant,Distance,IsOn
2025-05-06 15:52:31,FAULT,4,1,0,0
2025-05-06 15:52:32,FAULT,4,1,0,0
2025-05-06 15:52:32,FAULT,4,1,0,0
2025-05-06 15:52:32,FAULT,4,1,0,0
2025-05-06 15:52:33,FAULT,4,1,0,0
2025-05-06 15:52:33,FAULT,4,1,0,0
2025-05-06 15:52:33,FAULT,4,1,0,0
2025-05-06 15:52:34,FAULT,4,1,0,0
2025-05-06 15:52:34,FAULT,4,1,0,0
2025-05-06 15:52:34,FAULT,4,1,0,0
2025-05-06 15:52:35,FAULT,4,1,0,0
